osm_id,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
4456642683,The Cupcake Lounge,bakery,NA,NA,By Ward Market Square,6,NA,K1N 7A1,-75.693741,45.4285761
4456757734,Saslove's Meat Market,butcher,NA,NA,By Ward Market Square,50,NA,K1N 7A2,-75.6926911,45.4273582
4456757737,Aux Délices,bakery,NA,NA,By Ward Market Square,32,NA,NA,-75.6930064,45.427742
4456757738,The House of Cheese,cheese,NA,NA,By Ward Market Square,34,NA,K1N 7A2,-75.6929838,45.4277021
4458638690,The French Baker,bakery,NA,NA,Murray Street,119,NA,NA,-75.692638,45.4302344
4559289297,Weatherall Meat Market Incorperated,deli,NA,NA,Bradley Avenue,222,NA,NA,-75.6612,45.4397492
4559289298,Agop's Bakery,bakery,NA,NA,McArthur Avenue,304,NA,NA,-75.655784,45.4314543
4721488607,True Loaf Bread Company,bakery,NA,NA,Gladstone Avenue,573,NA,K1R 5P2,-75.700639,45.4095095
4727926485,Stella Luna Gelato Café,NA,ice_cream,NA,Bank Street,1103,NA,NA,-75.6830519,45.3939291
4742163221,Bagel -Bagel,bakery,NA,NA,Michael Street,1616,NA,NA,-75.62549,45.4093831
4751594346,Purely Dates,pastry,NA,NA,Mann Avenue,103,NA,NA,-75.672444,45.4211843
4797885127,Georges Meatshop,butcher,NA,NA,Innes Road,3681,NA,NA,-75.5189506,45.4503601
4816373325,Hintonburg Market,butcher,NA,NA,Wellington Street West,1059,NA,NA,-75.7246381,45.4040017
4924957950,Lindt,chocolate,NA,Lindt,NA,NA,NA,NA,-75.684565,45.3996233
5081705877,Starbucks,coffee,cafe,Starbucks,Tunney's Pasture Driveway,170,NA,NA,-75.734853,45.4069064
5102320072,St. Albert Cheese Co-op,cheese,NA,NA,rue St-Paul,150,St-Albert,K0A 3C0,-75.1216236,45.2534103
5106078059,Chocolats Favoris,chocolate,NA,NA,Boulevard de la Gappe,455,NA,NA,-75.6997837,45.4787784
5108651132,M&M Food Market,butcher,NA,M&M Food Market,Clyde Avenue,1400,NA,NA,-75.7389525,45.3584209
5108651136,Dutch Groceries & Giftware,deli,NA,NA,Clyde Avenue,1400,NA,NA,-75.7388708,45.3583368
5204824793,Première moisson,bakery,NA,NA,NA,NA,NA,NA,-75.6836514,45.4217792
5398499721,Little Jo Berry's Bakery,bakery,cafe,NA,Wellington Street West,1303,NA,NA,-75.7358391,45.3990103
5492170942,M&M Food Market,butcher,NA,M&M Food Market,NA,NA,NA,NA,-76.3691506,45.4237568
5521529912,Jack's Deli & Dessert,deli,NA,NA,Merivale Road,956,NA,NA,-75.7334268,45.3815385
5613675621,ThimbleCakes,pastry,NA,NA,Bank Street,369,NA,K2P 1Y2,-75.6949803,45.4139703
5667920321,Bytown Nuthouse,deli,NA,NA,NA,NA,NA,NA,-75.6926443,45.4283733
5667920326,Quelque Chose,pastry,NA,NA,George Street,70,NA,NA,-75.6918443,45.426945
5673267520,Mamie Clafoutis,pastry,NA,NA,Richmond Road,400,NA,NA,-75.7566279,45.3905995
5676880033,Malak Pastry,pastry,NA,NA,Bank Street,1216,NA,NA,-75.6811177,45.3914467
5676880042,Trillium Bakery,bakery,NA,NA,Bank Street,1181,NA,NA,-75.6815324,45.3922165
5697750377,Wellington Seafood,seafood,NA,NA,Wellington Street West,1105,NA,NA,-75.725903,45.4027854
5697750384,Les Moulins La Fayette,bakery,NA,NA,Wellington Street West,1000,Ottawa,K1Y 2X9,-75.7230138,45.4052843
5699786523,Artistic Cake Design,pastry,NA,NA,Clyde Avenue,1390,NA,NA,-75.7393116,45.3592066
5700725719,Farhat's Bakery,bakery,NA,NA,Meadowlands Drive East,1119,NA,NA,-75.7120583,45.3628986
5720922754,BeaverTails,pastry,NA,BeaverTails,Campeau Drive,8555,NA,K2T 0K5,-75.9399569,45.2970189
5737565984,Nine to Five Coffee,coffee,NA,NA,Lancaster Road,2620,NA,NA,-75.6117544,45.3986326
5750320342,La Maison du Kouign-Amann,bakery,NA,NA,Schneider Road,101,NA,NA,-75.9021056,45.3391491
5762421923,Al Farat Meat Shop,butcher,NA,NA,Lorry Greenberg Drive,4,NA,NA,-75.6207304,45.3692177
5764321684,Best Beef Store,butcher,NA,NA,St-Laurent Boulevard,2335,NA,NA,-75.620597,45.383414
5771188944,Bilal Farms,butcher,NA,NA,Cyrville Road,1741,NA,NA,-75.6046607,45.4172947
5774046656,Bilal Farms Butcher Shop,butcher,NA,NA,Carling Avenue,2953,NA,NA,-75.8027834,45.3564092
5798967031,3 Sisters Bakeshop,bakery,NA,NA,Arch Street,2211,NA,NA,-75.630375,45.3895828
