osm_id,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
161918355,Bistro Casa Paula,NA,restaurant,NA,Chemin Vanier,50,Gatineau,NA,-75.80505564416654,45.38360202545655
162844521,Mikes,NA,restaurant,Mikes,Boulevard Saint-Joseph,470,NA,NA,-75.73223755398445,45.44593922466381
162855996,Houston avenue bar & grill,NA,restaurant,NA,Boulevard Montclair,7,Gatineau,J8Y 2E2,-75.72849137341387,45.44011306201273
162964253,Milan,NA,restaurant,NA,Boulevard Maloney Ouest,740,NA,J8T 8K7,-75.67916670184748,45.48131170017324
163144053,BonapT,NA,restaurant,NA,Boulevard de l'Hôpital,405,NA,J8T 8E2,-75.68913798562158,45.48989158039008
163762363,African Kitchen,NA,restaurant,NA,Holland Avenue,81,NA,NA,-75.73242136653795,45.40098108994647
167692074,Fatboys Southern Smokehouse,NA,restaurant,NA,Murray Street,34,NA,NA,-75.69476966855649,45.42890630260132
167834835,Carlos Pizza,NA,restaurant,NA,Harmer Avenue North,60,NA,NA,-75.73268596661629,45.39666463508322
168121434,Boston Pizza,NA,restaurant,Boston Pizza,Boulevard de la Gappe,61,NA,J8T 0B5,-75.7173993479955,45.465099098755
168259537,Benny & Co.,NA,restaurant,NA,Chemin Vanier,415,Gatineau,NA,-75.80787355066438,45.41397849989828
174190031,Au Coin du Camionneur,NA,restaurant,NA,Route 148,3228,NA,NA,-76.09795620163818,45.552316949779645
175677672,Boston Pizza,NA,restaurant,Boston Pizza,Carling Avenue,1640,NA,NA,-75.74831886149298,45.37953851706154
182249098,Pizza Hut,NA,restaurant,Pizza Hut,Boulevard Gréber,325(3),NA,J8T 8J3,-75.7003664107578,45.47756340962102
182249100,Resto Bistro Rumeur,NA,restaurant,NA,NA,NA,NA,NA,-75.69392099774606,45.48033556670338
182249104,Scores,NA,restaurant,NA,Boulevard Maloney Ouest,1000,Gatineau,J8T 3R6,-75.69308491772743,45.47800298737531
182249106,Resto Bar La Drave,NA,restaurant,NA,Rue Bellehumeur,195,Gatineau,J8T 8H3,-75.69244504538054,45.479484231270966
191017583,Palki Cuisine of India,NA,restaurant,NA,Russell Road,6501,Carlsbad Springs,NA,-75.45582915787303,45.36950005260466
195441386,Fisherman Palace Chinese Restaurant,NA,restaurant,NA,Munro Street,45,NA,NA,-76.14003834951666,45.13694294883914
196504530,The Carleton Tavern,NA,pub,NA,Armstrong Street,223,NA,NA,-75.73014146758027,45.40210656551572
196942582,Mia's Indian Cuisine,NA,restaurant,NA,Richmond Road,917,NA,NA,-75.77483419979806,45.3780833517407
201851182,Swiss Chalet,NA,restaurant,Swiss Chalet,Bank Street,1910,NA,NA,-75.66286697040069,45.36846821496737
209263485,Scores,NA,restaurant,Scores,NA,NA,NA,NA,-75.6452588706466,45.4132817582976
218465319,Thruway Restaurant,NA,restaurant,NA,Highway 7,10432,NA,NA,-76.12201514967617,45.131691400174425
219306003,Johnny Canuck's,NA,restaurant,NA,Bank Street,4768,NA,K1T 3W7,-75.59404189623832,45.31843251146345
221090932,Newport,NA,restaurant,NA,Churchill Avenue North,322,NA,NA,-75.75555042916517,45.39457266253729
223543013,Bâton Rouge,NA,restaurant,NA,Boulevard Saint-Joseph,350,Gatineau,J8Y 3Y8,-75.73243669537919,45.442787934222885
227985073,The Brookfield Restaurant,NA,restaurant,NA,Brookfield Road,704,NA,NA,-75.68949325102336,45.372922300215
230118842,Lebanese Palace,NA,restaurant,NA,Industrial Avenue,909,NA,NA,-75.62833114937018,45.406731301690215
231975871,Montana's,NA,restaurant,Montana's,Earl Grey Drive,140,NA,NA,-75.91417317740078,45.30882875555863
231975935,Kelsey's,NA,restaurant,Kelsey's,Earl Grey Drive,130,NA,NA,-75.91375785293455,45.30962879983543
231975936,Moxie's,NA,restaurant,NA,Earl Grey Drive,601,NA,NA,-75.91186410546825,45.309605055311785
232675406,Lapointe,NA,restaurant,NA,Colchester Square,60,NA,NA,-75.88980372333894,45.32084217357899
233576695,Boston Pizza,NA,restaurant,Boston Pizza,Roland Michener Drive,135,NA,NA,-75.91228671584594,45.30835468442802
233576696,Jack Astor's,NA,restaurant,Jack Astor's,Roland Michener Drive,125,NA,NA,-75.91306521506033,45.30847335410363
233662994,Main Street Restaurant,NA,restaurant,NA,NA,NA,NA,NA,-75.21856150287114,45.315025618041545
233810239,Buster's Bar & Grill,NA,restaurant,NA,Hazeldean Road,420,NA,K2L 4B2,-75.88130048069299,45.301058988566645
233810790,Sukhothai,NA,restaurant,NA,Robertson Road,2134,NA,NA,-75.83539140747358,45.32082061845048
233811394,Mort's Pub,NA,pub,NA,Robertson Road,2011,NA,NA,-75.82741799618785,45.32482750093654
233898921,East Side Mario's,NA,restaurant,East Side Mario's,Robertson Road,1861,NA,NA,-75.82055957031994,45.328458787359835
233902466,Villalucia Supper Club,NA,restaurant,NA,Carling Avenue,3430,NA,NA,-75.83684162603119,45.35205480378996
233903078,Summerhays Restaurant,NA,restaurant,NA,Baseline Road,1973,NA,NA,-75.76207281706989,45.35220614894465
233910513,Cora,NA,restaurant,Cora,Carling Avenue,4055,NA,NA,-75.9071056264543,45.3389436893469
234032097,Hurley's,NA,restaurant,NA,Stonehaven Drive,60,NA,NA,-75.85714145070486,45.29149130109784
236476397,Thyme & Again,NA,restaurant,NA,Wellington Street West,1255,NA,NA,-75.7332754212282,45.39968416862052
236481870,The Elmdale Oyster House & Tavern,NA,pub,NA,Wellington Street West,1084,NA,NA,-75.72518006126316,45.402999339562434
237107742,Pubwells,NA,restaurant,NA,Preston Street,96,NA,NA,-75.71471776731094,45.4088741930565
237109083,The Prescott,NA,restaurant,NA,Preston Street,379,NA,NA,-75.70909853377748,45.4004969054673
237109085,Kuidaore Izakaya,NA,restaurant,NA,Preston Street,420,NA,NA,-75.70963777353242,45.400342138536445
237109086,Allegro Ristorante,NA,restaurant,NA,Preston Street,422,NA,NA,-75.70955669867884,45.400241099400276
237109323,Ciccio Ristorante,NA,restaurant,NA,Preston Street,330,NA,NA,-75.71088351206397,45.40242798190518
237159461,Aahar - The Taste of India,NA,restaurant,NA,Churchill Avenue North,727,NA,K1Z 5G7,-75.74686284843523,45.38121254845902
237315146,Yuzumi,NA,restaurant,NA,Holland Avenue,83,NA,NA,-75.73236184195065,45.40091369144027
237315379,The Momo Spot,NA,restaurant,NA,Holland Avenue,79,NA,NA,-75.73244957047027,45.401041198278136
237593148,Golden Palace,NA,restaurant,NA,Carling Avenue,2195,NA,NA,-75.77174090034143,45.36998505029043
238085276,Miss Molly's Breakfast Club,NA,restaurant,NA,Laperriere Avenue,1577,NA,NA,-75.74571703608923,45.376720945203296
238119932,Clocktower Brew Pub,NA,pub,NA,Bank Street,575,NA,NA,-75.6911365435828,45.40835569422198
238120313,Boston Pizza,NA,restaurant,Boston Pizza,Bank Street,640,NA,NA,-75.69051957655962,45.40630128898822
239060118,Chez Monik,NA,restaurant,NA,Boulevard Saint-Joseph,33,Gatineau,J8Y 3V8,-75.73371815393611,45.42561582572053
239818804,Montana's,NA,restaurant,Montana's,Merivale Road,1711,NA,K2G 3K2,-75.73004378347431,45.3457648263975
242712129,Hog's Back Restaurant,NA,restaurant,NA,Dynes Road,888,NA,NA,-75.7045364272165,45.36994806532922
242713825,Jadeland Restaurant,NA,restaurant,NA,Somerset Street West,625,NA,NA,-75.70455384944086,45.412195031400216
242714052,Saigon Boy Noodle House,NA,restaurant,NA,Somerset Street West,648,NA,NA,-75.7048854247696,45.411633881561514
242719345,PHO 99 Beef Noodle Soup Restaurant,NA,restaurant,NA,Lebreton Street North,120,NA,NA,-75.70786973373795,45.40712831602666
244243182,Silk Road Restaurant,NA,restaurant,NA,Cyrville Road,1021,NA,NA,-75.63588549584169,45.42572116889257
244243194,Biggs,NA,restaurant,NA,St-Laurent Boulevard,1099,NA,NA,-75.63770938661051,45.426042143993755
244442925,Hardstone Grill,NA,restaurant,NA,Roydon Place,1,NA,K2E 1A3,-75.72555776569494,45.33865292195689
246860638,Mia's Indian Cuisine,NA,restaurant,NA,St-Laurent Boulevard,327,NA,NA,-75.65157619532471,45.44999327091971
246860642,Cat's,NA,restaurant,NA,St-Laurent Boulevard,319,NA,NA,-75.65170585362479,45.450259349426105
249256392,Ten Sushi Japanese Restaurant,NA,restaurant,NA,Bank Street,1490,NA,NA,-75.67039040728609,45.38171082632039
249256393,Colonnade Pizza,NA,restaurant,NA,Bank Street,1500,NA,NA,-75.66934366022296,45.380822989998634
250548973,3 Brewers,NA,restaurant,3 Brasseurs,Kanata Avenue,565,NA,K2T 1K5,-75.90825478953504,45.31006549907102
