osm_id,type,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
5838349141,fast_food,The Greek Souvlaki Shack,NA,fast_food,NA,Bank Street,258,NA,NA,-75.6971768,45.4161071
5838486029,pub,The Royal Oak,NA,pub,NA,Bank Street,188,NA,NA,-75.6986077,45.4177625
5838522829,fast_food,King Shawarma,NA,fast_food,NA,Bank Street,205,NA,NA,-75.6980545,45.4175465
5838522830,cafe,Sip Tea,NA,cafe,NA,Bank Street,203,NA,NA,-75.69808,45.4175743
5838522832,restaurant,Izakaya Shingen,NA,restaurant,NA,Bank Street,201,NA,NA,-75.6981115,45.4176152
5838522833,restaurant,Burrito Sensei,NA,restaurant,NA,Bank Street,199,NA,NA,-75.698141,45.4176515
5838522834,fast_food,Roast 'n' Curries,NA,fast_food,NA,Bank Street,197,NA,NA,-75.6981712,45.4176896
5838522835,cafe,Bread & Sons,NA,cafe,NA,Bank Street,195,NA,NA,-75.6981987,45.4177258
5838522838,cafe,Tim Hortons,NA,cafe,Tim Hortons,Bank Street,187,NA,K2P 1W7,-75.6983046,45.4178835
5838553658,fast_food,Paradise Poké,NA,fast_food,NA,Bank Street,134,NA,NA,-75.6997684,45.4191463
5838553659,restaurant,Kyoto Sushi,NA,restaurant,NA,Bank Street,132,NA,NA,-75.69981,45.4191962
5838553665,fast_food,Toro Taqueria,NA,fast_food,NA,Bank Street,139,NA,NA,-75.6993668,45.4191059
5838610364,cafe,Café Délice,NA,cafe,NA,Bank Street,100,NA,NA,-75.700618,45.4200999
5838632390,cafe,Drip House Cafe,NA,cafe,NA,Parkdale Avenue,340,NA,NA,-75.7308982,45.4022546
5838755190,fast_food,Epicuria,NA,fast_food,NA,St-Laurent Boulevard,357,NA,NA,-75.6505989,45.4489348
5838755196,fast_food,Papa John's,NA,fast_food,Papa John's,St-Laurent Boulevard,375,NA,NA,-75.6508104,45.4486182
5840901285,pub,Deacon Brodies,NA,pub,NA,Elgin Street,247,NA,NA,-75.6907046,45.4184795
5844120478,fast_food,3 Brothers Shawarma,NA,fast_food,NA,Rideau Street,160,NA,K1N 5X6,-75.6897008,45.4269142
5844120479,bar,Brother's Beer Bistro,NA,bar,NA,Dalhousie Street,366,NA,NA,-75.690309,45.4275905
5844120481,restaurant,The Bistro,NA,restaurant,NA,Dalhousie Street,350,NA,NA,-75.6910989,45.4285797
5844120484,fast_food,The Shawarma Place,NA,fast_food,NA,Dalhousie Street,284,NA,NA,-75.6921664,45.4298879
5844174903,cafe,Starbucks,NA,cafe,Starbucks,City Park Drive,2401,NA,NA,-75.6136394,45.4330125
5844699565,restaurant,The Albion Rooms,NA,restaurant,NA,Nicholas Street,33,NA,NA,-75.6894694,45.4258276
5846881056,fast_food,Soup 'ER' Sandwich,NA,fast_food,NA,Beaverbrook Road,1002,NA,NA,-75.9007336,45.3288335
5846931771,fast_food,Urban Cowboy Food Truck,NA,fast_food,NA,Carling Avenue,3690,NA,NA,-75.8775157,45.3453582
5849261807,fast_food,The Corner Cafe,NA,fast_food,NA,Bank Street,1385,NA,NA,-75.6717414,45.3843691
5849340769,bar,Overflow Brewing,NA,bar,NA,Kaladar Avenue,2477,NA,NA,-75.6701696,45.3762077
5852880831,fast_food,Brampton Indian Food,NA,fast_food,NA,Meadowlands Drive West,178,NA,NA,-75.7555537,45.3422241
5854194502,fast_food,Sandwichii,NA,fast_food,NA,Colonnade Road,40,NA,NA,-75.7171907,45.3434447
5854194532,fast_food,Grill Master Express,NA,fast_food,NA,Colonnade Road,30,NA,NA,-75.7196456,45.3427783
5854289532,restaurant,Shaan Curry House,NA,restaurant,NA,Merivale Road,1489,NA,NA,-75.7358683,45.3591928
5859756865,cafe,Country Style,NA,cafe,Country Style,NA,NA,NA,NA,-75.5968179,45.3246838
5862216280,restaurant,Shahrazad Restaurant,NA,restaurant,NA,NA,NA,NA,NA,-75.7326865,45.3790724
5862294039,fast_food,Super Sweet Mart,NA,fast_food,NA,Rochester Street,237,NA,NA,-75.7103022,45.4065361
5862294048,convenience,Roma Confectionary,convenience,NA,NA,Rochester Street,258,NA,NA,-75.7103585,45.406006
5862395150,cafe,Capital Fare Cafe,NA,cafe,NA,Montréal Road,595,NA,NA,-75.6433173,45.4427926
5862482941,convenience,M & D Food Mart,convenience,NA,NA,NA,NA,NA,NA,-75.6402469,45.4428208
5863779628,fast_food,Golden BBQ Grill,NA,fast_food,NA,Montréal Road,928,NA,NA,-75.6285833,45.4463902
5863799995,fast_food,Fry Guyz,NA,fast_food,NA,Montréal Road,1696,NA,NA,-75.6120917,45.4459419
5864740108,fast_food,Dig In,NA,fast_food,NA,Canotek Road,5370,NA,NA,-75.5829656,45.4553716
5866219390,fast_food,Fat Albert's,NA,fast_food,NA,Canotek Road,5303,NA,NA,-75.5889966,45.4526801
5866219391,convenience,Pronto Food Mart,convenience,NA,NA,Canotek Road,5303,NA,NA,-75.5890958,45.4526651
5866624787,restaurant,Meow! That's Hot,NA,restaurant,NA,Bank Street,519,NA,NA,-75.6920879,45.4098065
5867010991,fast_food,Gongfu Bao,NA,fast_food,NA,Bank Street,365,NA,NA,-75.6950343,45.4140342
5867011015,fast_food,KFC,NA,fast_food,KFC,Bank Street,464,NA,NA,-75.6931843,45.4111317
5867011016,fast_food,Shawarma Palace,NA,fast_food,NA,Bank Street,464,NA,NA,-75.693248,45.411239
5868668223,restaurant,Yunshang Rice Noodle,NA,restaurant,Yunshang Rice Noodle,Bank Street,275,Ottawa,K2P 2L6,-75.6963466,45.4156162
5868668226,bar,Atomic Rooster,NA,bar,NA,Bank Street,303,NA,NA,-75.6958605,45.4149883
5868722857,fast_food,B&B Chips,NA,fast_food,NA,NA,NA,NA,NA,-75.6967081,45.4160907
5868793690,fast_food,Pi·Rho,NA,fast_food,NA,Elgin Street,346,NA,NA,-75.6887493,45.4157866
5868793692,convenience,Quickie,convenience,NA,NA,Elgin Street,348,NA,NA,-75.6886976,45.4157117
5868793706,bar,Yuk Yuk's Comedy Club,NA,bar,NA,Elgin Street,292,NA,NA,-75.6896391,45.416767
5868793709,cafe,Meow Tea,NA,cafe,NA,Elgin Street,279,NA,NA,-75.6898986,45.417522
5868793710,restaurant,Dakgogi,NA,restaurant,NA,Elgin Street,280,NA,NA,-75.6900863,45.4173149
5877024893,cafe,Tru Tea,NA,cafe,NA,Richmond Road,181,NA,NA,-75.7475238,45.3951055
5878796872,restaurant,Won Ton House,NA,restaurant,NA,Wellington Street West,1300,NA,NA,-75.735815,45.39874
5878873368,fast_food,Do Good Food,NA,fast_food,NA,Burland Street,80,NA,NA,-75.8051281,45.3555922
5882609721,cafe,Starbucks,NA,cafe,Starbucks,Mer Bleue Road,2025,NA,NA,-75.5036608,45.4546784
5891250659,fast_food,Rollos Street Eats,NA,fast_food,NA,Iber Road,119,NA,NA,-75.9039952,45.2769315
5891305888,fast_food,Thailicious,NA,fast_food,NA,Stittsville Main Street,1488,NA,NA,-75.9222342,45.2592096
5891429652,restaurant,Main Street Cafe,NA,restaurant,NA,Stittsville Main Street,1626,NA,NA,-75.9165533,45.2541373
5891429656,fast_food,Crave Tacos,NA,fast_food,NA,Stittsville Main Street,1610,NA,NA,-75.9168973,45.2547726
5897278842,convenience,Maya Market,convenience,NA,NA,Norice Street,197,NA,NA,-75.753992,45.3396516
5897278843,fast_food,H&R Pizza,NA,fast_food,NA,Norice Street,197,NA,NA,-75.7540812,45.3396139
5897278868,fast_food,Centrepointe Cafe & Deli,NA,fast_food,NA,Centrepointe Drive,117,NA,NA,-75.7618167,45.3430102
5910591572,restaurant,Chilaquiles,NA,restaurant,NA,Beechwood Avenue,49,NA,NA,-75.6758519,45.4401489
5910591574,convenience,St. Charles Food Market,convenience,NA,NA,NA,NA,NA,NA,-75.6722154,45.4395528
5912940536,fast_food,Domino's,NA,fast_food,Domino's,Merivale Road,1600,NA,NA,-75.7333631,45.3492726
5916191220,restaurant,Dagu Rice Noodle,NA,restaurant,NA,Riverside Drive,3987,NA,NA,-75.6923814,45.3333515
5916191221,restaurant,Morals Village,NA,restaurant,NA,Riverside Drive,3987,NA,NA,-75.6923768,45.3334262
5916222982,restaurant,Thr33's Co.,NA,restaurant,NA,Bank Street,589,NA,NA,-75.6909668,45.4078317
5916222984,restaurant,Hareg Cafe & Variety,NA,restaurant,NA,Bank Street,587,NA,NA,-75.6910006,45.4078828
5916236088,restaurant,Pretoria Place Restaurant,NA,restaurant,NA,O'Connor Street,460,NA,NA,-75.6887003,45.4092219
5916256941,fast_food,Fry Time,NA,fast_food,NA,NA,NA,NA,NA,-75.6054841,45.4362762
5931725086,fast_food,Aroma Pizzeria,NA,fast_food,NA,Voyageur Drive,6000,NA,NA,-75.548282,45.4757368
5931809917,fast_food,Eastview Pizza,NA,fast_food,NA,Montréal Road,251,NA,NA,-75.6612573,45.4363481
5931838128,fast_food,SushiME,NA,fast_food,NA,Beechwood Avenue,8,NA,NA,-75.6773217,45.4386386
5932107709,restaurant,Champa Thai,NA,restaurant,NA,King Edward Avenue,193,NA,NA,-75.6893273,45.4333306
5932107753,restaurant,La Brochette,NA,restaurant,NA,Rideau Street,319,NA,NA,-75.6849164,45.429294
5933580834,cafe,RAW,NA,cafe,NA,Murray Street,18,NA,NA,-75.6953542,45.4287952
5933580835,restaurant,Fairouz Cafe,NA,restaurant,NA,Clarence Street,15,NA,NA,-75.6950685,45.4284281
5934579427,pub,The Clarendon Tavern,NA,pub,NA,George Street,11,NA,NA,-75.6938239,45.426551
5934579428,restaurant,Sidedoor,NA,restaurant,NA,York Street,18,NA,NA,-75.693844,45.4272088
