polygon_attribute,0,3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3018,3019,3020,3021,3022,3023,3024,3025,3026,3027,3028,3029,3030,3031,3032,3033,3034,3035,3036,3037,3038,3039,3040,3041,3042,3043,3044,3045,3046,3047,3048,3049,3050,3051,3052,3053,3054,3055,3056,3057,3058,3059,3060,3061,3062,3063,3064,3065,3066,3067,3068,3069,3070,3071,3072,3073,3074,3075,3076,3077,3078,3079,3080,3081,3082,3083,3084,3085,3086,3087,3088,3089,3090,3091,3092,3093,3094,3095,3097,3098,3099,3100,3101,3102,3103,3104,3105,3106,3107,3108,3109,3110,3111,3112,3113,3114,3115,3116,3117
food_resto_num_region,1071,8,3,2,7,2,0,15,6,11,2,2,5,1,4,9,22,2,6,5,10,4,10,3,140,3,6,3,12,0,17,1,9,0,2,5,3,1,3,4,3,3,0,4,4,19,0,44,16,4,4,0,0,1,2,25,1,6,6,19,20,10,0,9,1,14,1,7,86,4,17,1,0,2,6,1,2,6,1,21,17,10,5,10,3,11,2,28,2,3,0,19,0,0,0,8,0,2,0,4,14,1,4,28,6,13,5,11,11,4,14,5,0,2,83,19,9
food_resto_num_per_1000_res_plus_buffer,1.053,25.397,1.288,0.349,0.904,0.299,NA,3.065,1.386,2.143,0.242,0.329,0.585,0.22,0.194,1.05,1.417,0.154,0.97,500,0.995,0.624,1.128,0.54,4.484,0.933,0.416,0.248,2.558,0.174,950,0.437,1.016,0,0.228,1.204,0.761,0.217,0.531,1.311,0.368,0.517,0,0.278,0.28,4.41,0,3.244,1.356,0.566,4.292,0,0,0.18,0.441,2.462,0.118,200,1.018,4.554,1.003,0.962,0,2.014,9.091,1.21,0.314,2.033,15.32,0.62,1.628,0.428,0,0.346,0.813,0.257,0.655,1.425,0.203,0.913,0.851,0.601,0.586,1.543,60,1.857,0.525,1.324,0.339,0.799,0,0.634,0,0,0,0.974,0,0.426,0,0.209,1.264,0.606,0.82,2.746,2.158,0.586,0.761,1.089,0.467,1.278,2.001,2.048,0,1.463,9.648,1.792,0.787
food_resto_dist_closest_3_popwt,1.41,2.189,1.233,0.931,0.762,1.028,NA,0.793,0.875,0.593,1.651,1.255,0.954,0.933,1.335,0.63,0.868,1.323,0.525,NA,0.793,4.07,0.714,0.863,0.212,1.312,2.66,0.888,0.713,0.648,NA,5.598,1.344,9.487,1.268,1.197,0.951,3.238,5.148,5.62,1.004,0.803,NA,1.149,1.4,0.749,10.233,0.39,0.86,3.339,1.167,2.548,1.601,1.123,0.957,0.399,1.699,NA,0.759,0.442,1.641,0.92,10.242,0.623,NA,0.554,1.215,0.323,0.233,0.554,2.772,9.449,1.877,6.117,2.152,7.953,5.737,0.527,6.763,0.732,0.961,0.91,0.6,0.55,NA,0.719,4.921,0.641,0.777,0.763,1.377,1.327,1.118,1.167,1.884,0.903,1.453,1.206,1.606,1.673,1.191,0.986,1.143,0.338,0.685,1.261,1.643,1.137,2.573,1.119,0.528,0.384,7.725,0.743,0.187,0.544,0.749
food_resto_pct_within_15_mins,0.753,0,0.55,0.993,1,0.98,NA,0.953,0.928,1,0.939,0.951,0.761,0.872,0.529,1,0.959,0.857,1,NA,1,0.321,1,1,1,0.498,0.074,0.891,1,1,NA,0.113,0.635,0,0.539,0.649,0.932,0.114,0.154,0.103,0.962,0.986,NA,0.87,0.603,1,0.012,1,0.966,0.239,0.709,0,0.772,0.911,0.993,1,0.718,NA,1,1,0.309,0.961,0.018,1,NA,1,1,1,1,1,0.237,0.006,0.277,0.23,0.454,0.299,0.216,1,0.071,1,0.909,0.906,1,1,NA,0.989,0.321,1,1,1,0.635,0.567,0.861,0.89,0,0.839,0.545,0.9,0.34,0.582,0.793,0.892,0.689,1,1,0.721,0.263,0.841,0.14,0.673,1,1,0,1,1,1,0.957
