polygon_attribute,0,3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3018,3019,3020,3021,3022,3023,3024,3025,3026,3027,3028,3029,3030,3031,3032,3033,3034,3035,3036,3037,3038,3039,3040,3041,3042,3043,3044,3045,3046,3047,3048,3049,3050,3051,3052,3053,3054,3055,3056,3057,3058,3059,3060,3061,3062,3063,3064,3065,3066,3067,3068,3069,3070,3071,3072,3073,3074,3075,3076,3077,3078,3079,3080,3081,3082,3083,3084,3085,3086,3087,3088,3089,3090,3091,3092,3093,3094,3095,3097,3098,3099,3100,3101,3102,3103,3104,3105,3106,3107,3108,3109,3110,3111,3112,3113,3114,3115,3116,3117
food_grocery_num_region,129,1,0,0,1,0,0,2,1,4,1,1,2,0,1,2,2,0,2,0,2,0,2,0,4,0,2,1,1,0,0,0,1,0,0,3,0,0,0,0,2,2,0,1,1,5,0,4,5,1,0,0,0,0,0,1,0,0,0,2,2,3,0,2,0,3,0,1,2,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,3,0,0,0,6,0,0,0,2,2,0,0,1,7,0,0,2,3,2,2,2,4,1,1,2,0,0,2,3,1
food_grocery_num_per_1000_res_plus_buffer,0.127,3.175,0.129,0,0.129,0,NA,0.383,0.231,0.66,0.121,0.219,0.234,0,0.077,0.233,0.129,0,0.242,0,0.124,0,0.188,0,0.125,0,0.139,0.083,0.15,0,0,0,0.068,0,0,0.361,0,0,0,0,0.245,0.345,0,0.056,0.07,1.103,0,0.295,0.399,0.094,0,6.25,0,0,0,0.091,0,0,0,0.364,0.1,0.35,0,0.175,0,0.214,0,0.145,0.673,0.124,0.096,0,0,0,0.232,0,0,0,0,0.041,0.045,0.06,0.117,0.154,0,0.088,0.175,0.189,0,0,0,0.2,0,0,0,0.195,0.137,0,0,0.052,0.521,0,0,0.145,1.079,0.09,0.285,0.156,0.144,0.213,0.095,0.273,0,0,0.227,0.244,0.087
food_grocery_dist_closest_3_popwt,2.606,2.937,1.415,2.349,1.334,2.318,NA,1.655,1.857,0.922,3.174,1.527,1.153,1.458,1.723,1.15,3.392,2.62,1.451,NA,1.334,10.586,1.59,2.629,0.681,2.073,3.356,1.329,1.42,1.585,NA,19.841,1.58,13.429,2.859,1.518,3.8,4.427,11.057,9.692,1.453,1.117,NA,1.968,4.235,1.138,19.633,0.791,1.166,8.113,2.434,3.45,2.301,1.3,1.443,1.017,3.465,NA,2.408,0.729,2.299,1.157,17.857,1.194,NA,1.086,2.806,0.88,0.629,1.336,6.069,14.485,3.194,11.563,6.874,14.047,10.453,1.413,11.887,1.588,2.18,2.001,1.264,1.042,NA,1.233,10.484,1.093,1.201,1.625,1.709,2.094,2.869,1.453,2.369,1.48,1.589,2.19,2.324,2.918,1.661,1.068,2.058,1.163,0.717,2.724,1.82,1.9,2.735,2.787,1.345,1.108,13.287,2.112,0.928,0.987,1.274
food_grocery_pct_within_15_mins,0.543,0,0.559,0.178,0.948,0.424,NA,0.593,1,0.966,0.839,0.872,0.71,0.717,0.494,0.899,0.498,0.468,0.865,NA,0.956,0.003,0.49,0.08,1,0.472,0.018,0.844,0.635,0.377,NA,0,0.792,0,0.197,0.594,0.084,0.021,0.02,0,0.678,0.77,NA,0.426,0.564,0.673,0.012,0.911,0.86,0.101,0.364,0,0,0.646,0.879,1,0.001,NA,0.192,1,0.313,0.948,0,0.92,NA,0.909,0,1,1,0.627,0.117,0,0,0,0.202,0,0,0.967,0,0.648,0.268,0.473,0.989,0.941,NA,0.851,0.288,0.863,0.35,0.352,0.471,0.314,0,0.78,0,0.66,0.692,0.017,0.099,0.317,0.482,0.859,0.616,0.779,1,0.251,0.335,0.658,0.07,0.517,0.827,1,0,0,0.946,0.92,0.868
