food_grocery_num_per_1000_res_plus_buffer,0.127,3.175,0.129,0,0.129,0,NA,0.383,0.231,0.66,0.121,0.219,0.234,0,0.077,0.233,0.129,0,0.242,0,0.124,0,0.188,0,0.125,0,0.139,0.083,0.15,0,0,0,0.068,0,0,0.361,0,0,0,0,0.245,0.345,0,0.056,0.07,1.103,0,0.295,0.399,0.094,0,6.25,0,0,0,0.091,0,0,0,0.364,0.1,0.35,0,0.175,0,0.214,0,0.145,0.673,0.124,0.096,0,0,0,0.232,0,0,0,0,0.041,0.045,0.06,0.117,0.154,0,0.088,0.175,0.189,0,0,0,0.2,0,0,0,0.195,0.137,0,0,0.052,0.521,0,0,0.145,1.079,0.09,0.285,0.156,0.144,0.213,0.095,0.273,0,0,0.227,0.244,0.087
food_grocery_dist_closest_3_popwt,2.606,2.937,1.415,2.349,1.334,2.318,NA,1.655,1.857,0.922,3.174,1.527,1.153,1.458,1.723,1.15,3.392,2.62,1.451,NA,1.334,10.586,1.59,2.629,0.681,2.073,3.356,1.329,1.42,1.585,NA,19.841,1.58,13.429,2.859,1.518,3.8,4.427,11.057,9.692,1.453,1.117,NA,1.968,4.235,1.138,19.633,0.791,1.166,8.113,2.434,3.45,2.301,1.3,1.443,1.017,3.465,NA,2.408,0.729,2.299,1.157,17.857,1.194,NA,1.086,2.806,0.88,0.629,1.336,6.069,14.485,3.194,11.563,6.874,14.047,10.453,1.413,11.887,1.588,2.18,2.001,1.264,1.042,NA,1.233,10.484,1.093,1.201,1.625,1.709,2.094,2.869,1.453,2.369,1.48,1.589,2.19,2.324,2.918,1.661,1.068,2.058,1.163,0.717,2.724,1.82,1.9,2.735,2.787,1.345,1.108,13.287,2.112,0.928,0.987,1.274
food_grocery_pct_within_15_mins,0.543,0,0.559,0.178,0.948,0.424,NA,0.593,1,0.966,0.839,0.872,0.71,0.717,0.494,0.899,0.498,0.468,0.865,NA,0.956,0.003,0.49,0.08,1,0.472,0.018,0.844,0.635,0.377,NA,0,0.792,0,0.197,0.594,0.084,0.021,0.02,0,0.678,0.77,NA,0.426,0.564,0.673,0.012,0.911,0.86,0.101,0.364,0,0,0.646,0.879,1,0.001,NA,0.192,1,0.313,0.948,0,0.92,NA,0.909,0,1,1,0.627,0.117,0,0,0,0.202,0,0,0.967,0,0.648,0.268,0.473,0.989,0.941,NA,0.851,0.288,0.863,0.35,0.352,0.471,0.314,0,0.78,0,0.66,0.692,0.017,0.099,0.317,0.482,0.859,0.616,0.779,1,0.251,0.335,0.658,0.07,0.517,0.827,1,0,0,0.946,0.92,0.868
food_resto_num_region_plus_buffer,1071,8,10,5,7,2,4,16,6,13,2,3,5,2,5,9,22,2,8,5,16,4,12,5,143,11,6,3,17,1,19,1,15,0,2,10,3,1,3,4,3,3,0,5,4,20,0,44,17,6,5,0,0,1,3,27,1,10,6,25,20,11,0,23,1,17,1,14,91,5,17,1,0,2,7,1,2,8,1,22,19,10,5,10,3,21,3,28,2,5,0,19,0,0,0,10,0,2,0,4,17,1,9,38,6,13,8,14,13,6,21,15,0,4,85,22,9
food_resto_num_per_1000_res_plus_buffer,1.053,25.397,1.288,0.349,0.904,0.299,NA,3.065,1.386,2.143,0.242,0.329,0.585,0.22,0.194,1.05,1.417,0.154,0.97,500,0.995,0.624,1.128,0.54,4.484,0.933,0.416,0.248,2.558,0.174,950,0.437,1.016,0,0.228,1.204,0.761,0.217,0.531,1.311,0.368,0.517,0,0.278,0.28,4.41,0,3.244,1.356,0.566,4.292,0,0,0.18,0.441,2.462,0.118,200,1.018,4.554,1.003,0.962,0,2.014,9.091,1.21,0.314,2.033,15.32,0.62,1.628,0.428,0,0.346,0.813,0.257,0.655,1.425,0.203,0.913,0.851,0.601,0.586,1.543,60,1.857,0.525,1.324,0.339,0.799,0,0.634,0,0,0,0.974,0,0.426,0,0.209,1.264,0.606,0.82,2.746,2.158,0.586,0.761,1.089,0.467,1.278,2.001,2.048,0,1.463,9.648,1.792,0.787
food_resto_dist_closest_3_popwt,1.41,2.189,1.233,0.931,0.762,1.028,NA,0.793,0.875,0.593,1.651,1.255,0.954,0.933,1.335,0.63,0.868,1.323,0.525,NA,0.793,4.07,0.714,0.863,0.212,1.312,2.66,0.888,0.713,0.648,NA,5.598,1.344,9.487,1.268,1.197,0.951,3.238,5.148,5.62,1.004,0.803,NA,1.149,1.4,0.749,10.233,0.39,0.86,3.339,1.167,2.548,1.601,1.123,0.957,0.399,1.699,NA,0.759,0.442,1.641,0.92,10.242,0.623,NA,0.554,1.215,0.323,0.233,0.554,2.772,9.449,1.877,6.117,2.152,7.953,5.737,0.527,6.763,0.732,0.961,0.91,0.6,0.55,NA,0.719,4.921,0.641,0.777,0.763,1.377,1.327,1.118,1.167,1.884,0.903,1.453,1.206,1.606,1.673,1.191,0.986,1.143,0.338,0.685,1.261,1.643,1.137,2.573,1.119,0.528,0.384,7.725,0.743,0.187,0.544,0.749
food_resto_pct_within_15_mins,0.753,0,0.55,0.993,1,0.98,NA,0.953,0.928,1,0.939,0.951,0.761,0.872,0.529,1,0.959,0.857,1,NA,1,0.321,1,1,1,0.498,0.074,0.891,1,1,NA,0.113,0.635,0,0.539,0.649,0.932,0.114,0.154,0.103,0.962,0.986,NA,0.87,0.603,1,0.012,1,0.966,0.239,0.709,0,0.772,0.911,0.993,1,0.718,NA,1,1,0.309,0.961,0.018,1,NA,1,1,1,1,1,0.237,0.006,0.277,0.23,0.454,0.299,0.216,1,0.071,1,0.909,0.906,1,1,NA,0.989,0.321,1,1,1,0.635,0.567,0.861,0.89,0,0.839,0.545,0.9,0.34,0.582,0.793,0.892,0.689,1,1,0.721,0.263,0.841,0.14,0.673,1,1,0,1,1,1,0.957
food_specialty_num_region_plus_buffer,289,0,5,10,1,1,1,5,1,8,1,1,1,0,0,5,3,1,4,0,2,3,1,0,15,3,5,3,9,2,1,1,1,0,1,0,0,1,0,0,1,6,1,1,0,2,0,9,8,0,0,0,0,0,1,14,1,4,4,9,7,7,1,11,0,4,0,1,21,1,4,0,0,0,2,0,0,2,0,6,2,0,1,5,2,1,0,10,2,1,1,5,0,0,0,8,0,0,0,0,7,0,3,11,3,6,2,0,0,3,4,2,0,0,9,9,3
food_specialty_num_per_1000_res_plus_buffer,0.284,0,0.644,0.697,0.129,0.15,NA,0.958,0.231,1.319,0.121,0.11,0.117,0,0,0.583,0.193,0.077,0.485,0,0.124,0.468,0.094,0,0.47,0.255,0.347,0.248,1.354,0.347,50,0.437,0.068,0,0.114,0,0,0.217,0,0,0.123,1.034,100,0.056,0,0.441,0,0.663,0.638,0,0,0,0,0,0.147,1.277,0.118,80,0.679,1.639,0.351,0.612,0.376,0.963,0,0.285,0,0.145,3.535,0.124,0.383,0,0,0,0.232,0,0,0.356,0,0.249,0.09,0,0.117,0.772,40,0.088,0,0.473,0.339,0.16,0.164,0.167,0,0,0,0.779,0,0,0,0,0.521,0,0.273,0.795,1.079,0.27,0.19,0,0,0.639,0.381,0.273,0,0,1.022,0.733,0.262
food_specialty_dist_closest_3_popwt,2.359,3.96,1.102,0.667,1.657,1.631,NA,0.98,1.39,0.688,2.682,1.774,1.313,1.274,2.766,0.693,2.795,2.745,0.812,NA,1.417,4.477,1.628,1.81,0.46,1.452,2.836,1.068,1.071,0.704,NA,15.119,1.814,10.165,1.615,2.132,2.186,3.888,11.438,9.825,1.267,1.019,NA,1.8,6.469,1.192,15.034,0.618,1.37,11.52,2.003,2.632,1.776,1.316,1.34,0.4,1.353,NA,0.925,0.514,1.96,1.254,8.875,0.753,NA,0.83,1.83,0.853,0.451,1.159,3.625,13.376,3.629,17.427,4.06,12.091,9.978,0.999,11.115,1.385,1.654,2.386,1.09,0.6,NA,1.1,12.981,0.975,0.883,2.082,1.254,2.186,1.118,1.118,1.832,1.116,1.483,2,2.185,3.668,1.467,1.178,1.414,0.932,0.828,1.41,1.898,2.334,3.452,1.313,0.699,0.768,13.388,2.162,0.402,0.718,1.033
food_specialty_pct_within_15_mins,0.554,0,0.721,1,0.644,0.74,NA,0.901,0.384,1,0.838,0.302,0.47,0.581,0.043,1,0.366,0.33,0.95,NA,0.786,0.259,0.637,0.271,1,0.735,0.074,0.788,0.949,0.985,NA,0.375,0.378,0,0.236,0.147,0.084,0.089,0,0.002,0.927,0.735,NA,0.384,0,0.905,0.006,1,0.822,0,0.271,0,0.581,0.558,0.831,1,0.973,NA,1,1,0.363,0.524,0.005,0.994,NA,1,0.104,1,1,1,0.21,0,0,0,0.331,0,0,0.893,0,0.498,0.517,0.09,0.989,1,NA,0.805,0,0.979,1,0.87,0.975,0.197,0.768,0.945,0.297,0.84,0.5,0.017,0.188,0,0.548,0.892,0.729,0.929,1,0.519,0.221,0.194,0.04,0.445,1,1,0.055,0,1,0.98,0.932
