ONS_ID,food_convenience_num_region_plus_buffer,food_convenience_num_per_1000_res_plus_buffer,food_convenience_dist_closest_3_popwt,food_convenience_pct_within_15_mins,food_fastfood_num_region_plus_buffer,food_fastfood_num_per_1000_res_plus_buffer,food_fastfood_dist_closest_3_popwt,food_fastfood_pct_within_15_mins,food_grocery_num_region_plus_buffer,food_grocery_num_per_1000_res_plus_buffer,food_grocery_dist_closest_3_popwt,food_grocery_pct_within_15_mins,food_resto_num_region_plus_buffer,food_resto_num_per_1000_res_plus_buffer,food_resto_dist_closest_3_popwt,food_resto_pct_within_15_mins,food_specialty_num_region_plus_buffer,food_specialty_num_per_1000_res_plus_buffer,food_specialty_dist_closest_3_popwt,food_specialty_pct_within_15_mins
3041,5,0.862,0.694,1,14,2.414,0.748,0.96,2,0.345,1.117,0.77,3,0.517,0.803,0.986,6,1.034,1.019,0.735
3042,0,0,NA,NA,3,300,NA,NA,0,0,NA,NA,0,0,NA,NA,1,100,NA,NA
3043,5,0.278,1.404,0.704,20,1.11,0.968,0.867,1,0.056,1.968,0.426,5,0.278,1.149,0.87,1,0.056,1.8,0.384
3044,5,0.35,1.423,0.613,10,0.7,1.199,0.719,1,0.07,4.235,0.564,4,0.28,1.4,0.603,0,0,6.469,0
3045,6,1.323,1.104,0.911,27,5.954,0.72,1,5,1.103,1.138,0.673,20,4.41,0.749,1,2,0.441,1.192,0.905
3046,1,0.255,7.852,0.218,1,0.255,7.521,0.23,0,0,19.633,0.012,0,0,10.233,0.012,0,0,15.034,0.006
3047,6,0.442,0.63,1,22,1.622,0.415,1,4,0.295,0.791,0.911,44,3.244,0.39,1,9,0.663,0.618,1
3048,8,0.638,1.504,0.645,36,2.871,0.842,0.925,5,0.399,1.166,0.86,17,1.356,0.86,0.966,8,0.638,1.37,0.822
3049,5,0.471,3.929,0.174,2,0.189,5.014,0.151,1,0.094,8.113,0.101,6,0.566,3.339,0.239,0,0,11.52,0
3050,4,3.433,0.963,0.77,9,7.725,0.815,0.844,0,0,2.434,0.364,5,4.292,1.167,0.709,0,0,2.003,0.271
3051,2,12.5,2.763,0,6,37.5,2.655,0,1,6.25,3.45,0,0,0,2.548,0,0,0,2.632,0
3052,1,0.162,0.945,1,2,0.324,0.811,1,0,0,2.301,0,0,0,1.601,0.772,0,0,1.776,0.581
3053,1,0.18,0.946,1,3,0.539,0.743,1,0,0,1.3,0.646,1,0.18,1.123,0.911,0,0,1.316,0.558
3054,2,0.294,0.866,0.99,11,1.618,0.569,1,0,0,1.443,0.879,3,0.441,0.957,0.993,1,0.147,1.34,0.831
3055,6,0.547,0.457,1,32,2.918,0.263,1,1,0.091,1.017,1,27,2.462,0.399,1,14,1.277,0.4,1
3056,3,0.353,0.985,0.981,3,0.353,0.942,0.994,0,0,3.465,0.001,1,0.118,1.699,0.718,1,0.118,1.353,0.973
3057,6,120,NA,NA,19,380,NA,NA,0,0,NA,NA,10,200,NA,NA,4,80,NA,NA
3058,5,0.848,0.864,1,17,2.884,0.521,1,0,0,2.408,0.192,6,1.018,0.759,1,4,0.679,0.925,1
3059,2,0.364,0.936,0.881,17,3.097,0.51,1,2,0.364,0.729,1,25,4.554,0.442,1,9,1.639,0.514,1
3060,4,0.201,1.781,0.432,31,1.554,1.182,0.683,2,0.1,2.299,0.313,20,1.003,1.641,0.309,7,0.351,1.96,0.363
3061,6,0.524,1.059,0.819,20,1.748,0.876,0.99,4,0.35,1.157,0.948,11,0.962,0.92,0.961,7,0.612,1.254,0.524
3062,1,0.376,8.613,0.04,0,0,10.476,0,0,0,17.857,0,0,0,10.242,0.018,1,0.376,8.875,0.005
3063,4,0.35,0.928,0.936,37,3.24,0.558,1,2,0.175,1.194,0.92,23,2.014,0.623,1,11,0.963,0.753,0.994
3064,0,0,NA,NA,1,9.091,NA,NA,0,0,NA,NA,1,9.091,NA,NA,0,0,NA,NA
3065,5,0.356,0.831,1,22,1.566,0.549,1,3,0.214,1.086,0.909,17,1.21,0.554,1,4,0.285,0.83,1
3066,0,0,1.432,0.332,0,0,0.967,1,0,0,2.806,0,1,0.314,1.215,1,0,0,1.83,0.104
3067,6,0.871,0.462,1,12,1.743,0.345,1,1,0.145,0.88,1,14,2.033,0.323,1,1,0.145,0.853,1
3068,9,1.515,0.308,1,61,10.269,0.214,1,4,0.673,0.629,1,91,15.32,0.233,1,21,3.535,0.451,1
3069,5,0.62,0.686,1,10,1.241,0.515,1,1,0.124,1.336,0.627,5,0.62,0.554,1,1,0.124,1.159,1
3070,3,0.287,4.01,0.281,10,0.957,2.841,0.259,1,0.096,6.069,0.117,17,1.628,2.772,0.237,4,0.383,3.625,0.21
3071,0,0,11.811,0,0,0,9.22,0,0,0,14.485,0,1,0.428,9.449,0.006,0,0,13.376,0
3072,0,0,1.571,0.395,1,0.33,1.309,0.692,0,0,3.194,0,0,0,1.877,0.277,0,0,3.629,0
3073,1,0.173,7.712,0.23,3,0.519,5.043,0.238,0,0,11.563,0,2,0.346,6.117,0.23,0,0,17.427,0
3074,3,0.348,4.196,0.409,10,1.161,1.969,0.497,2,0.232,6.874,0.202,7,0.813,2.152,0.454,2,0.232,4.06,0.331
3075,0,0,12.066,0,0,0,10.519,0.001,0,0,14.047,0,1,0.257,7.953,0.299,0,0,12.091,0
3076,2,0.655,6.336,0.291,1,0.327,7.077,0.215,0,0,10.453,0,2,0.655,5.737,0.216,0,0,9.978,0
3077,2,0.356,0.69,1,11,1.959,0.442,1,0,0,1.413,0.967,8,1.425,0.527,1,2,0.356,0.999,0.893
3078,1,0.203,7.999,0.097,3,0.609,3.966,0.13,0,0,11.887,0,1,0.203,6.763,0.071,0,0,11.115,0
