osm_id,name,ons_type,type,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
573225423,Subway,fast_food,fast_food,NA,fast_food,Subway,Merivale Road,1642,NA,NA,-75.7313395173744,45.34523972308531
573225429,Pizza Pizza,fast_food,fast_food,NA,fast_food,Pizza Pizza,Merivale Road,1642,NA,NA,-75.73128224144283,45.34512220608739
573225445,Farm Boy,grocery,supermarket,supermarket,NA,Farm Boy,Merivale Road,1642,NA,NA,-75.73228145045815,45.346454279151324
573225447,Metro,grocery,supermarket,supermarket,NA,Metro,Merivale Road,1705,NA,NA,-75.72809022482957,45.344998149352854
573228829,Milano Pizzeria,fast_food,fast_food,NA,fast_food,NA,Merivale Road,1843,NA,NA,-75.72636355634316,45.33746568616317
573228831,Wing Hing Chinese Food,fast_food,fast_food,NA,fast_food,NA,Merivale Road,1843,NA,NA,-75.72627988156783,45.337479402152375
573312286,The Captain's Boil,restaurant,restaurant,NA,restaurant,NA,West Hunt Club Road,290,NA,K2E 0B7,-75.71096866825545,45.33847837752936
573385579,Pizza Hut,restaurant,restaurant,NA,restaurant,Pizza Hut,Montréal Road,526,NA,NA,-75.6459990006436,45.440611366646024
573799352,The Hill Bakehouse And Deli,fast_food,fast_food,NA,fast_food,NA,Ogilvie Road,2339,NA,NA,-75.59787126771728,45.45178372999789
574217785,Beneci Pizza,fast_food,fast_food,NA,fast_food,NA,Cobden Road,1105,NA,NA,-75.77802238726893,45.353021898165416
574217787,Silver Dragon,fast_food,fast_food,NA,fast_food,NA,Cobden Road,1109,NA,NA,-75.77797193164824,45.35293124822347
574217792,Iris Food Mart,convenience,convenience,convenience,NA,NA,Cobden Road,1121,NA,NA,-75.7777625255015,45.35259569200824
574217793,Greek on Wheels,fast_food,fast_food,NA,fast_food,NA,Cobden Road,1123,NA,NA,-75.77771663472421,45.352515277475604
574589064,Little Caesars,fast_food,fast_food,NA,fast_food,Little Caesars,Cresthaven Drive,350,NA,K2G 4S4,-75.70933375849675,45.27302664499903
574589075,Tim Hortons,fast_food,cafe,NA,cafe,Tim Hortons,Cresthaven Drive,350,NA,K2G 4P4,-75.70857614176532,45.27370512724211
574589080,FreshCo,grocery,supermarket,supermarket,NA,FreshCo,Cresthaven Drive,350,NA,K2G 4P4,-75.70993037271278,45.27385791054088
574620301,Clarendon Street Cafe,restaurant,restaurant,NA,restaurant,NA,NA,NA,NA,NA,-76.23416051298598,45.52057269741941
575152879,Tim Hortons,fast_food,cafe,NA,cafe,Tim Hortons,Boulevard Gréber,46,Gatineau,J8T 3P6,-75.70026020170555,45.460963900609364
575369475,Melllo's Coffee Shop,fast_food,cafe,NA,cafe,NA,Merivale Road,1516,NA,NA,-75.73749200772394,45.35649817561721
575369489,Happy Lamb Hot Pot,restaurant,restaurant,NA,restaurant,NA,Merivale Road,1514,NA,NA,-75.73771594446698,45.356545433220646
575369503,Hungry Ninja,convenience,convenience,convenience,NA,NA,Merivale Road,1529,NA,NA,-75.73633316802896,45.35678795423725
575369507,Merivale Noodle House,restaurant,restaurant,NA,restaurant,NA,Merivale Road,1519,NA,NA,-75.73650886758077,45.35708530035111
575369510,Subway,fast_food,fast_food,NA,fast_food,Subway,Merivale Road,1523,NA,NA,-75.73645213223762,45.35698929445803
575369512,Sansotei Ramen,restaurant,restaurant,NA,restaurant,NA,Merivale Road,1537,NA,K2G 3J3,-75.73602643538483,45.355856892350054
575408930,Pizzalicious,fast_food,fast_food,NA,fast_food,NA,Merivale Road,1009,NA,NA,-75.73280702399086,45.3797380534451
575408953,Sundari's Cuisine,restaurant,restaurant,NA,restaurant,NA,Merivale Road,1487,NA,NA,-75.73568366899043,45.359334939065235
575408955,Casa México,restaurant,restaurant,NA,restaurant,NA,Merivale Road,1489,Nepean,K2E 5P3,-75.73593503722657,45.35895679417397
576378462,Meet Fresh,fast_food,cafe,NA,cafe,NA,Merivale Road,1547,NA,NA,-75.733806352928,45.354810106143645
576378468,Chatime,fast_food,cafe,NA,cafe,Chatime,Merivale Road,1547,NA,NA,-75.73400418021437,45.35470921959931
576378501,KFC,fast_food,fast_food,NA,fast_food,KFC,Merivale Road,1556,NA,NA,-75.73617311501313,45.35340289771667
576378518,Daal Roti,restaurant,restaurant,NA,restaurant,NA,Merivale Road,1556,NA,NA,-75.7358221858967,45.3535668127989
